Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
166,2.75,1.123221852,0.278623853,-0.939658048,1.21186486,-4.9776576,-1.243198694,45.73122302,-0.817758515,,
167,2.76667,1.12095102,0.288615513,-0.940490687,1.214742511,-4.963148258,-1.238376615,45.55198809,-0.3974681,,
168,2.78333,1.119697399,0.281392827,-0.936041651,1.216240873,-4.948363685,-1.233611602,45.40625008,-0.95785532,,
169,2.8,1.1186074,0.271401168,-0.930743043,1.211035009,-4.937307531,-1.231618161,45.48279463,-0.362443898,,
170,2.81667,1.119508833,0.27,-0.94640003,1.202344701,-4.933889794,-1.229648035,45.64321743,-0.642637508,,
171,2.83333,1.120735082,0.27,-0.965475017,1.195517802,-4.950273277,-1.22814814,45.77133887,-0.642637508,,
172,2.85,1.117050876,0.278573812,-0.95551596,1.190083956,-4.953805795,-1.226220848,45.8568195,-0.432492301,,
173,2.86667,1.112554629,0.288565471,-0.940755554,1.186454671,-4.924306386,-1.223431347,45.87906284,-0.887806918,,
174,2.88333,1.100512548,0.285721435,-0.941748048,1.185032047,-4.88521695,-1.218035798,45.78685117,-0.502540703,,
175,2.9,1.087205474,0.280725605,-0.945381378,1.185347896,-4.867171557,-1.214450188,45.69479045,-0.747710112,,
176,2.91667,1.091445144,0.292810676,-0.944615083,1.187800895,-4.868106573,-1.211774467,45.57240911,-0.292395496,,
177,2.93333,1.098666389,0.307798165,-0.943101195,1.190652071,-4.861392938,-1.203941876,45.31798372,-0.362443898,,
178,2.95,1.09600781,0.297214345,-0.938487755,1.19347139,-4.836187603,-1.196626629,45.07563779,-0.467516502,,
179,2.96667,1.091647813,0.282226856,-0.933340536,1.194154343,-4.811681954,-1.185118244,44.78240077,-0.432492301,,
180,2.98333,1.079128744,0.292760634,-0.948043193,1.190642929,-4.794541323,-1.160559534,44.26694637,-0.712685911,,
181,3,1.065185837,0.307748123,-0.966209847,1.188419246,-4.7871344,-1.146416573,43.96938521,-0.3974681,,
182,3.01667,1.08416256,0.242076731,-0.947070159,1.187876291,-4.782697658,-1.164801645,44.43807122,-0.222347094,,
183,3.03333,1.108960042,0.162143453,-0.921334066,1.187339238,-4.779130151,-1.19511322,45.1869564,-0.082250289,,
184,3.05,1.099169308,0.200842369,-0.896946066,1.184759844,-4.771110073,-1.205134411,45.48845191,-0.257371295,,
185,3.06667,1.083182652,0.260792327,-0.872799555,1.181800757,-4.761145782,-1.195192484,45.32279489,-0.11727449,,
186,3.08333,1.081534536,0.265771476,-0.876586929,1.179278567,-4.758154676,-1.188236977,45.21679967,-0.3974681,,
187,3.1,1.082488286,0.260775646,-0.885443172,1.174767745,-4.75117769,-1.186675751,45.28892189,-0.257371295,,
188,3.11667,1.091460384,0.234678899,-0.79589241,1.169502736,-4.724292322,-1.163148323,44.84392002,-0.502540703,,
189,3.13333,1.10190621,0.20470392,-0.688254985,1.162697749,-4.686161273,-1.156876238,44.85620322,-0.11727449,,
190,3.15,1.10909743,0.221059216,-0.629947178,1.159931633,-4.662270584,-1.156309377,44.91039799,-0.257371295,,
191,3.16667,1.115682842,0.246038365,-0.580821518,1.162720064,-4.668920543,-1.151340426,44.7182442,-0.187322893,,
192,3.18333,1.121007203,0.216371977,-0.564495918,1.170191399,-4.682154735,-1.145227015,44.38227218,-0.11727449,,
193,3.2,1.126093866,0.176405338,-0.55435287,1.175241953,-4.672670531,-1.139969821,44.12716928,-1.203024731,,
194,3.21667,1.119777314,0.207756464,-0.561562539,1.176743101,-4.658635431,-1.136344793,43.9994253,-0.327419697,,
195,3.23333,1.111284404,0.252718932,-0.57208406,1.175522451,-4.653221714,-1.133541853,43.9584326,-0.67766171,,
196,3.25,1.115656456,0.251626355,-0.58241527,1.17316016,-4.644795638,-1.131157925,43.95574992,0.022822314,,
197,3.26667,1.122514368,0.241634696,-0.592709708,1.171587201,-4.635310238,-1.126855159,43.88505637,-0.222347094,,
198,3.28333,1.122496778,0.24,-0.591291733,1.16736437,-4.625540607,-1.122595638,43.88000983,0.057846515,,
199,3.3,1.121134279,0.24,-0.587582708,1.162047046,-4.616246336,-1.119917502,43.94232762,0.022822314,,
200,3.31667,1.13277504,0.214979149,-0.622921374,1.158290719,-4.605541406,-1.117266014,43.9671592,-0.012201887,,
201,3.33333,1.146990447,0.18500417,-0.665991483,1.156072207,-4.59531639,-1.114640779,43.95469722,0.267991721,,
202,3.35,1.139375313,0.209132611,-0.679992039,1.153502244,-4.584447948,-1.110146346,43.90274209,0.127894917,,
203,3.36667,1.127385321,0.24410342,-0.688167033,1.150214522,-4.573686059,-1.107581748,43.91824264,0.513161128,,
204,3.38333,1.12853537,0.266613845,-0.723968838,1.148067872,-4.563766069,-1.104666857,43.89628044,0.793354735,,
205,3.4,1.132350368,0.286597164,-0.76537367,1.144470578,-4.553209062,-1.101780265,43.91121673,1.073548341,,
206,3.41667,1.135750853,0.277564637,-0.811677282,1.139443665,-4.542754055,-1.098549874,43.95317799,1.073548341,,
207,3.43333,1.139066267,0.262577148,-0.858986276,1.135193755,-4.532762715,-1.094980644,43.96699024,1.213645144,,
208,3.45,1.137981651,0.264136781,-0.868500139,1.130984515,-4.520698582,-1.092181832,44.00007291,1.248669344,,
209,3.46667,1.135983319,0.269132611,-0.870165416,1.126454498,-4.508749345,-1.088676918,44.02295363,1.318717746,,
210,3.48333,1.135673895,0.27412844,-0.870767306,1.12196742,-4.498345271,-1.085569868,44.05540115,0.723306333,,
211,3.5,1.135719312,0.27912427,-0.871145778,1.119667431,-4.48803935,-1.083217974,44.05205715,1.633935551,,
212,3.51667,1.139735006,0.304720601,-0.886069452,1.116321694,-4.478184811,-1.081249383,44.08566107,1.493838749,,
213,3.53333,1.144594586,0.33469558,-0.904084717,1.113361344,-4.468069414,-1.078220598,44.08137412,1.844080754,,
214,3.55,1.140146637,0.315329441,-0.884284252,1.107256285,-4.457345483,-1.07486213,44.14949068,1.59891135,,
215,3.56667,1.133697475,0.285354462,-0.856353021,1.100856915,-4.446720849,-1.07189096,44.23620745,1.458814548,,
216,3.58333,1.129523846,0.271793161,-0.854223595,1.096262641,-4.436890291,-1.070010854,44.30570033,1.949153355,,
217,3.6,1.125845098,0.261801501,-0.857705537,1.093101002,-4.427149922,-1.068147997,44.33851289,2.019201756,,
218,3.61667,1.121980211,0.255904921,-0.855541234,1.089276169,-4.417498506,-1.06595083,44.37993015,2.47451636,,
219,3.63333,1.11807438,0.250909091,-0.852134986,1.084797184,-4.405188185,-1.063773638,44.43938453,2.40446796,,
220,3.65,1.121859049,0.217306088,-0.845508884,1.076586806,-4.39162216,-1.060919863,44.58005576,2.789734162,,
221,3.66667,1.127354462,0.17733945,-0.838166528,1.069474468,-4.377838114,-1.059824671,44.74034231,3.245048763,,
222,3.68333,1.115312761,0.210783987,-0.841823489,1.063785227,-4.365871251,-1.059084321,44.87312378,3.700363362,,
223,3.7,1.099326105,0.260742285,-0.847954735,1.057470163,-4.351988036,-1.057320141,44.99593547,3.910508561,,
224,3.71667,1.100359694,0.261859883,-0.845390856,1.052558458,-4.338563929,-1.054545782,45.05403873,4.365823157,,
225,3.73333,1.10526469,0.251868224,-0.840849193,1.047354904,-4.327932346,-1.052476856,45.13975675,4.470895756,,
226,3.75,1.112274395,0.221567973,-0.8431386,1.041863357,-4.318725406,-1.049748277,45.21599158,4.891186151,,
227,3.76667,1.11976814,0.186597164,-0.846999014,1.038746605,-4.306286389,-1.047718541,45.24637407,4.330798958,,
228,3.78333,1.121697703,0.220533778,-0.863019562,1.033671533,-4.29131731,-1.045034571,45.3131985,5.241428145,,
229,3.8,1.122333536,0.270492077,-0.881867465,1.025345746,-4.276478397,-1.04237394,45.47183454,5.241428145,,
